day,date,market_phase,total_routes,successful_routes,failed_routes,gross_profit,gas_costs,net_profit,avg_roi,best_route_profit,worst_route_profit,routes_2hop,routes_3hop,routes_4hop,routes_crosschain,mev_frontrun,mev_backrun,cumulative_routes,cumulative_profit,cumulative_gas,cumulative_net_profit,current_capital,daily_return
1,2025-08-08,bull,52,31,21,6500805.884539855,279.3183285743806,6500526.56621128,179.59363878707651,911573.8110880932,-147526.71139706334,13,11,7,8,4,2,31,6500805.884539855,279.3183285743806,6500526.56621128,6600526.56621128,65.0052656621128
2,2025-08-09,bull,49,36,13,13430513.389944382,959.2207606971144,13429554.169183685,393.7180418843871,3336759.097023778,-127628.04610481752,16,14,6,15,8,3,67,19931319.274484236,1238.539089271495,19930080.735394966,20030080.735394966,2.034618607238223
3,2025-08-10,bull,28,19,9,3107950.376207147,290.3581112745482,3107660.0180958724,122.45987431149548,1213823.8903814456,-144775.79580249416,10,4,5,5,5,4,86,23039269.650691383,1528.8972005460432,23037740.75349084,23137740.75349084,0.15514965012619025
4,2025-08-11,bull,25,17,8,3908985.399129086,400.82286582945653,3908584.576263257,238.09476038864324,1430424.5103259492,-115860.3688876097,6,6,5,5,3,2,103,26948255.049820468,1929.7200663754998,26946325.329754096,27046325.329754096,0.16892680309219735
5,2025-08-12,bull,48,34,14,9460302.974388223,369.44222442736225,9459933.532163795,265.4416895837853,1419924.6971237136,-95598.60593633182,21,6,7,9,8,9,137,36408558.024208695,2299.162290802862,36406258.86191789,36506258.86191789,0.34976779347384285
6,2025-08-13,bull,38,24,14,12472070.670441166,303.1053344338136,12471767.56510673,434.5319035671732,4782288.797628382,-104629.1155933977,8,10,6,8,5,7,161,48880628.69464986,2602.2676252366755,48878026.42702462,48978026.42702462,0.3416336801938602
7,2025-08-14,bull,31,17,14,3894657.2902778974,288.070134387199,3894369.22014351,225.58324031838333,1142209.9099228345,-111732.94942399232,2,8,7,8,2,3,178,52775285.98492776,2890.3377596238743,52772395.64716813,52872395.64716813,0.07951257950227886
8,2025-08-15,bull,24,13,11,1316089.3223276704,208.02793574898845,1315881.2943919215,121.35566749780884,396382.06338944804,-85946.59405539228,7,5,1,4,2,2,191,54091375.30725543,3098.365695372863,54088276.94156005,54188276.94156005,0.024887869715099636
9,2025-08-16,bull,49,29,20,8592452.825350983,741.4279872249732,8591711.397363758,261.9225937179028,3081105.061147396,-166013.08855654293,8,16,5,9,6,8,220,62683828.13260642,3839.793682597836,62679988.33892381,62779988.33892381,0.15855295429728433
10,2025-08-17,bull,42,24,18,7795821.569186805,518.1073462704114,7795303.461840535,268.4956840101318,2986011.591667889,-59391.91644870621,12,7,5,9,2,4,244,70479649.70179322,4357.9010288682475,70475291.80076435,70575291.80076435,0.12416860321408214
11,2025-08-18,bull,48,28,20,7567489.823521523,364.9046485092944,7567124.918873014,226.79767836038963,4109344.278490479,-176142.30949048628,7,17,4,8,5,5,272,78047139.52531475,4722.8056773775415,78042416.71963736,78142416.71963736,0.10722059697939583
12,2025-08-19,bull,61,39,22,10477856.19559927,794.504682914729,10477061.690916354,206.68886578213375,2663924.48716453,-151868.98938323584,19,14,6,14,6,6,311,88524995.72091402,5517.31036029227,88519478.41055372,88619478.41055372,0.1340764994318821
13,2025-08-20,bull,22,14,8,5457627.042347108,373.0953690814867,5457253.946978026,434.4126589306773,1807088.4343984379,-129401.43524285239,4,6,4,6,5,0,325,93982622.76326112,5890.405729373757,93976732.35753176,94076732.35753176,0.06158075002084553
14,2025-08-21,bull,35,21,14,5543173.76006335,497.6755140433583,5542676.084549307,219.60788454872926,1504320.011652542,-148532.74985383014,8,8,5,9,3,2,346,99525796.52332447,6388.081243417115,99519408.44208106,99619408.44208106,0.05891654552248659
15,2025-08-22,bull,29,15,14,3515826.114633987,337.99064316377275,3515488.1239908235,220.25880573131408,849307.5747086196,-147529.39776199413,5,9,1,8,1,2,361,103041622.63795847,6726.071886580888,103034896.56607188,103134896.56607188,0.03528918891377212
