day,date,market_phase,total_routes,successful_routes,failed_routes,gross_profit,gas_costs,net_profit,avg_roi,best_route_profit,worst_route_profit,routes_2hop,routes_3hop,routes_4hop,routes_crosschain,mev_frontrun,mev_backrun,cumulative_routes,cumulative_profit,cumulative_gas,cumulative_net_profit,current_capital,daily_return
1,2025-08-08,bull,59,31,28,5318307.270257247,694.6326511600466,5317612.637606086,194.46947736176517,1005754.678198419,-95685.53102062315,20,9,2,11,2,8,31,5318307.270257247,694.6326511600466,5317612.637606086,5417612.637606086,53.176126376060864
2,2025-08-09,bull,51,32,19,9385909.932121735,548.5258471423447,9385361.406274593,251.3959011654793,1696268.7308103272,-116328.95005032673,11,12,9,12,8,6,63,14704217.20237898,1243.1584983023913,14702974.043880679,14802974.043880679,1.7323795616405975
3,2025-08-10,bull,38,25,13,13058259.006050576,462.47153410035577,13057796.534516476,341.3885561273106,5491309.99945959,-142562.90650385933,11,9,5,12,1,4,88,27762476.208429556,1705.630032402747,27760770.578397155,27860770.578397155,0.8821062913309888
4,2025-08-11,bull,50,30,20,6983877.645086173,583.0702941431217,6983294.57479203,143.91939956246637,1886809.833937067,-125565.15379321782,11,16,3,12,7,1,118,34746353.85351573,2288.700326545869,34744065.15318918,34844065.15318918,0.25064972826727117
5,2025-08-12,bull,51,35,16,12000171.38405864,668.5044101546711,11999502.879648484,244.04188674273465,2883963.721058478,-151578.92064062503,15,12,8,18,4,4,153,46746525.23757437,2957.20473670054,46743568.03283767,46843568.03283767,0.3443772368951102
6,2025-08-13,bull,58,34,24,6876321.353644906,504.14837719961105,6875817.205267706,136.3608461216564,1713188.1323939569,-152792.39419639594,19,11,4,12,2,7,187,53622846.591219276,3461.3531139001507,53619385.23810537,53719385.23810537,0.1467825252006361
7,2025-08-14,bull,57,33,24,11348465.52128828,413.1399054673076,11348052.381382812,255.56429963422588,2877620.6623235117,-146594.2075228427,14,12,7,10,6,5,220,64971312.11250755,3874.493019367458,64967437.61948818,65067437.61948818,0.21124687728803662
8,2025-08-15,bull,48,34,14,14731340.982438847,826.6290614095783,14730514.353377437,312.2671811017164,8184149.123665987,-116802.81142745235,15,15,4,10,7,2,254,79702653.0949464,4701.122080777037,79697951.97286561,79797951.97286561,0.22638841934303464
9,2025-08-16,bull,53,31,22,5636757.27396294,404.071587041463,5636353.202375899,168.41607639482046,1877605.4303476845,-139393.39523654644,11,15,5,9,2,5,285,85339410.36890934,5105.1936678185,85334305.17524152,85434305.17524152,0.07063280526663739
10,2025-08-17,bull,57,35,22,6692467.444555089,561.3132231766439,6691906.131331912,172.40021560842246,1087340.6807870043,-131359.55845950692,16,13,6,10,6,7,320,92031877.81346443,5666.506890995144,92026211.30657342,92126211.30657342,0.07832809218270785
11,2025-08-18,bull,51,36,15,4970893.744295607,659.845117724498,4970233.899177883,124.76735446321729,938459.3475607283,-101899.81384577844,18,15,3,13,7,6,356,97002771.55776004,6326.352008719642,96996445.2057513,97096445.2057513,0.053950269187106416
12,2025-08-19,bull,22,12,10,4206633.160298479,187.38204124406877,4206445.778257235,367.2921257475648,1273789.1759965366,-144796.14582535197,4,7,1,2,2,3,368,101209404.71805853,6513.734049963711,101202890.98400854,101302890.98400854,0.04332234583195714
13,2025-08-20,bull,50,37,13,8784063.28806391,546.9321781835378,8783516.355885725,200.72558659117425,1084435.6120300563,-137946.6377246218,17,12,8,17,8,6,405,109993468.00612244,7060.666228147249,109986407.33989426,110086407.33989426,0.08670548560427829
14,2025-08-21,bull,24,12,12,3257978.954564867,361.1182873244174,3257617.8362775426,195.97708980880165,1824904.8465774271,-98521.36434588503,6,6,0,5,2,1,417,113251446.96068731,7421.784515471666,113244025.17617181,113344025.17617181,0.02959146287896901
15,2025-08-22,bull,41,29,12,6164242.505279551,442.4867363605187,6163800.01854319,155.64789538219404,1410723.5395194816,-154697.4035360649,10,12,7,9,4,6,446,119415689.46596687,7864.271251832185,119407825.194715,119507825.194715,0.05438134042762934
16,2025-08-23,bull,37,27,10,2939386.5879410687,287.47926536698634,2939099.1086757015,95.25192824473139,548024.687654835,-177899.9984301704,13,9,5,12,4,6,473,122355076.05390793,8151.750517199172,122346924.3033907,122446924.3033907,0.02459336117854212
17,2025-08-24,bull,28,18,10,4370156.103110898,280.95941260739244,4369875.143698291,200.17384595350376,1351569.212671735,-118701.24791164997,9,5,4,4,4,2,491,126725232.15701883,8432.709929806564,126716799.44708899,126816799.44708899,0.035687912689998734
18,2025-08-25,bull,56,33,23,8931406.138181377,722.6188097824792,8930683.519371595,240.92693822736047,1618092.5629872922,-181205.1848915891,11,18,4,11,6,8,524,135656638.2952002,9155.328739589044,135647482.9664606,135747482.9664606,0.07042192799620126
19,2025-08-26,bull,27,24,3,881416.3680558755,438.7806379125439,880977.587417963,38.41715341294392,754211.2932572174,-174782.0530375742,8,9,7,10,2,1,548,136538054.66325608,9594.109377501587,136528460.55387855,136628460.55387855,0.006489826316968455
20,2025-08-27,bull,60,40,20,5462331.084969206,1105.2639465901404,5461225.821022616,105.66842562134715,949653.5678123591,-150704.42982872055,18,13,9,20,14,5,588,142000385.74822527,10699.373324091728,141989686.37490118,142089686.37490118,0.0399713632056113
21,2025-08-28,bull,38,25,13,8600064.257780155,637.4339131608021,8599426.823866995,232.12312822596468,2418638.1644738154,-100509.77355723812,14,5,6,11,5,5,613,150600450.00600544,11336.807237252531,150589113.19876817,150689113.19876817,0.060521119042923045
22,2025-08-29,bull,26,17,9,6023896.460096778,386.30690787339,6023510.153188905,292.7219213747145,1993545.5159516914,-154522.6169349924,8,7,2,6,2,4,630,156624346.4661022,11723.114145125921,156612623.35195708,156712623.35195708,0.03997309444142475
23,2025-08-30,bull,39,20,19,1978693.771934244,361.75287210101106,1978332.019062143,99.06766160860168,450178.92919265403,-96245.60020985789,2,9,9,9,5,3,650,158603040.23803645,12084.867017226932,158590955.3710192,158690955.3710192,0.01262394806970371
24,2025-08-31,bull,40,26,14,6027819.330925028,331.00524941276376,6027488.325675615,161.0242085290369,2100289.8332437444,-145941.84493977122,8,13,5,11,5,5,676,164630859.56896147,12415.872266639695,164618443.69669482,164718443.69669482,0.03798255742794765
25,2025-09-01,bull,61,40,21,13667061.950022928,814.4335070341192,13666247.516515894,303.0679067538034,4893737.811647584,-141912.5901472984,17,15,8,10,6,6,716,178297921.5189844,13230.305773673814,178284691.2132107,178384691.2132107,0.08296731810847066
26,2025-09-02,bull,31,16,15,8462927.882839795,462.06860381841454,8462465.814235976,528.7497788081819,2743106.1937784096,-162004.12913741323,8,6,2,4,3,2,732,186760849.4018242,13692.374377492228,186747157.0274467,186847157.0274467,0.04743941734395461
27,2025-09-03,bull,43,28,15,11852983.396608608,405.4650969246759,11852577.931511683,264.1874243653123,5055897.424463513,-153674.83486892696,8,10,10,9,0,2,760,198613832.79843283,14097.839474416904,198599734.95895836,198699734.95895836,0.06343461747063464
28,2025-09-04,bull,32,21,11,7290044.549339045,466.88678351255794,7289577.6625555325,280.2307760891287,2117047.5967948656,-113224.3501202452,10,7,4,8,4,5,781,205903877.34777188,14564.726257929462,205889312.6215139,205989312.6215139,0.03668639852016513
29,2025-09-05,bull,54,34,20,10573371.184224322,534.4987430752496,10572836.685481247,304.93568544401165,1248492.6583321167,-187123.62344992397,15,11,8,13,3,4,815,216477248.5319962,15099.225001004712,216462149.30699515,216562149.30699515,0.05132711280467179
30,2025-09-06,sideways,33,23,10,14228516.14763094,389.14555278948177,14228127.00207815,507.3655416808134,5907637.446972181,-124441.22907587624,11,10,2,7,3,6,838,230705764.67962712,15488.370553794193,230690276.3090733,230790276.3090733,0.06569997133667424
31,2025-09-07,sideways,19,14,5,5775998.2697258135,431.94190621922354,5775566.327819594,352.23723741375306,3375252.151381819,-46067.87498876944,5,6,3,8,2,3,852,236481762.94935292,15920.312460013416,236465842.63689288,236565842.63689288,0.025025171858128813
