day,timestamp,route_id,route_path,hops,chains,dex_path,is_crosschain,mev_type,input_amount,output_amount,gross_profit,trading_fees,gas_cost,slippage_cost,total_price_impact,net_profit,roi_percent,success,simulation_passed,no_revert_protection,retry_attempted,execution_time_ms,liquidity_score,competition_level,amm_formula_used
1,2025-08-08 12:53:33,route_1_0,AAVE → DAI → AAVE,2,"optimism,optimism,optimism","PancakeSwap,Curve",False,none,79780.81569596287,131336.96231421555,51556.14661825268,330.1485093113171,1.9721057503316168,265.1119673178883,4.6100389646105775,50958.91403587314,63.873643796865565,True,True,True,False,1483.8983989908,0.9857800966373438,0.3,constant_product
1,2025-08-08 12:53:33,route_1_1,USDC → WMATIC → USDC,2,"polygon,polygon,polygon","1inch,UniswapV3",False,none,124889.52666737475,833830.1411195559,708940.6144521812,2199.3983831893574,0.5051209607830918,4365.996375526231,15.851797853849064,702374.7145725047,562.3968104572759,True,True,True,False,1224.644290321107,0.884152030999104,0.3,constant_product
1,2025-08-08 12:53:33,route_1_2,USDC → WMATIC → USDC,2,"ethereum,ethereum,ethereum","UniswapV3,TraderJoe",False,none,57189.14154178954,1071209.3764179153,1014020.2348761258,1081.1802329643474,28.611831109680818,7155.764613632647,17.724682980407863,1005754.678198419,1758.6462238876045,True,True,True,False,1229.858767783443,0.7943173747901782,0.3,constant_product
1,2025-08-08 12:53:33,route_1_3,WBTC → WMATIC → LINK → USDC → WBTC,4,"ethereum,ethereum,ethereum,ethereum,ethereum","UniswapV3,PancakeSwap,TraderJoe,1inch",False,none,105304.64528114506,105304.64528114506,0,463.47578997512346,40.863668329198376,-658.8886873024392,8.90856147643225,-40.863668329198376,0,False,True,True,False,1235.275457453567,0.7865038118932555,0.3,constant_product
1,2025-08-08 12:53:33,route_1_4,WETH → DAI → WETH,2,"ethereum,ethereum,ethereum","AaveV3,Curve",False,none,181108.94878621298,181108.94878621298,0,181.15908993587786,27.71279248759845,-102.13961593209967,6.4361582460835285,-27.71279248759845,0,False,False,True,False,1803.983672782852,0.705296164988736,0.3,constant_product
1,2025-08-08 12:53:33,route_1_5,USDC → WBTC → USDC,2,"polygon,polygon,polygon","PancakeSwap,Compound",False,backrun,139787.88899110645,72577.19164257847,-67210.69734852797,656.3453592133285,0.9199340302134238,-345.97226339719464,6.316071224135834,-67521.99037837432,-48.30317623772843,True,True,True,False,2341.872560712511,0.9852422649282748,0.3,constant_product
1,2025-08-08 12:53:33,route_1_6,WMATIC → AAVE → LINK → WETH → WMATIC,4,"arbitrum,bsc,polygon,arbitrum,arbitrum","Curve,AaveV3,1inch,Curve",True,none,188948.45141155078,728928.4303821372,539979.9789705864,1299.3984646349743,8.362946722312847,3560.7716875527335,48.7579161592084,535111.4458716764,283.20499155938785,True,True,True,True,3411.8441756786056,0.8405733867501975,0.3,constant_product
1,2025-08-08 12:53:33,route_1_7,DAI → LINK → WETH → WMATIC → DAI,4,"ethereum,bsc,polygon,ethereum,ethereum","QuickSwap,AaveV3,Balancer,1inch",True,none,116040.93042564485,116040.93042564485,0,673.5251889029614,91.53884552275171,-659.0970153085531,6.7221643327842635,-91.53884552275171,0,False,False,True,False,1735.2630473326542,0.846649133987303,0.3,constant_product
1,2025-08-08 12:53:33,route_1_8,LINK → AAVE → USDT → LINK,3,"bsc,polygon,ethereum,bsc","AaveV3,Curve,TraderJoe",True,none,87250.10391202633,87250.10391202633,0,334.55163842102945,2.7653658173074223,-515.4687967963841,3.029467162008267,-2.7653658173074223,0,False,False,True,False,2917.1146611296267,0.8265515303996478,0.3,constant_product
1,2025-08-08 12:53:33,route_1_9,USDC → WBTC → AAVE → USDC,3,"bsc,bsc,bsc,bsc","QuickSwap,UniswapV3,Balancer",False,frontrun,116780.31098154437,20913.214955378313,-95867.09602616607,404.70421607547826,1.8397271978939582,-588.1089488162767,1.578146466953275,-95685.53102062315,-81.93635572330768,True,True,True,False,1829.3759015624025,0.8865372237250646,0.3,constant_product
1,2025-08-08 12:53:33,route_1_10,WBTC → WETH → WMATIC → WBTC,3,"optimism,optimism,optimism,optimism","UniswapV3,Curve,1inch",False,none,119912.71198321109,183549.02647279683,63636.31448958574,1028.5468025944908,2.117119285050952,437.44069136027014,10.301228703874113,62168.20987634593,51.8445532989447,True,True,True,False,2612.9505077254144,0.8125926684018471,0.3,constant_product
1,2025-08-08 12:53:33,route_1_11,USDT → DAI → LINK → WMATIC → USDT,4,"bsc,bsc,bsc,bsc,bsc","QuickSwap,AaveV3,SushiSwap,PancakeSwap",False,none,142197.82541916607,142197.82541916607,0,1071.8264881320786,1.8901638880923946,733.1308264430195,13.333313561310463,-1.8901638880923946,0,False,True,True,True,3383.305229474352,0.8280222667358038,0.3,constant_product
1,2025-08-08 12:53:33,route_1_12,WMATIC → WETH → WMATIC,2,"polygon,polygon,polygon","1inch,TraderJoe",False,none,115684.90582309678,183068.29942732863,67383.39360423185,626.7042714298193,0.47635900023764305,391.1306096256495,34.445100398592544,66365.08236417614,57.367105839771696,True,True,True,False,1023.9074170553523,0.919544506881165,0.3,constant_product
1,2025-08-08 12:53:33,route_1_13,WETH → USDC → AAVE → WETH,3,"arbitrum,bsc,optimism,arbitrum","Compound,QuickSwap,UniswapV3",True,none,175576.40119056072,175576.40119056072,0,891.0085204238563,5.889073247251683,-817.6692603880011,29.354390784094136,-5.889073247251683,0,False,True,True,False,2282.5433089473654,0.9005227430973994,0.3,constant_product
1,2025-08-08 12:53:33,route_1_14,WBTC → AAVE → WBTC,2,"arbitrum,ethereum,arbitrum","TraderJoe,Balancer",True,backrun,165961.6388247804,170146.97341113864,4185.334586358222,1683.5450277344394,6.696922379910005,27.219359793687126,13.414447738140757,2467.873276450185,1.4870142847020964,True,True,True,False,2352.1532877796117,0.8496491324156843,0.3,constant_product
1,2025-08-08 12:53:33,route_1_15,USDC → WETH → USDC,2,"optimism,optimism,optimism","UniswapV3,AaveV3",False,backrun,81170.67527365756,518906.1142326419,437735.43895898433,674.409814153055,2.627957358954804,2770.4290414511684,8.84883087010714,434287.97214602114,535.0306261243601,True,True,True,False,1971.459749847631,0.8670996691426768,0.3,constant_product
1,2025-08-08 12:53:33,route_1_16,AAVE → USDT → LINK → AAVE,3,"polygon,bsc,ethereum,polygon","Compound,Compound,Balancer",True,none,88470.89742248334,88470.89742248334,0,377.7360947529168,1.27922371615537,-510.8922234360399,3.0056269206783863,-1.27922371615537,0,False,True,True,False,2346.037470590428,0.8771597318367121,0.3,constant_product
1,2025-08-08 12:53:33,route_1_17,USDT → LINK → USDT,2,"ethereum,ethereum,ethereum","TraderJoe,TraderJoe",False,backrun,50810.05436538242,50810.05436538242,0,569.8937954075898,34.3316528174914,-44.81226248966639,2.9313922306099975,-34.3316528174914,0,False,False,True,False,2358.877933794786,0.7935708737569563,0.3,constant_product
1,2025-08-08 12:53:33,route_1_18,DAI → WBTC → DAI,2,"bsc,bsc,bsc","Compound,UniswapV3",False,backrun,178814.52039014202,178814.52039014202,0,978.1178254412976,2.0245883571811043,1020.2741356240327,7.475720640772417,-2.0245883571811043,0,False,False,True,True,943.950946220566,0.8274912869895764,0.3,constant_product
1,2025-08-08 12:53:33,route_1_19,WETH → LINK → WETH,2,"bsc,arbitrum,bsc","1inch,TraderJoe",True,none,180672.57265288997,482193.30863510305,301520.73598221305,1916.3184967241987,1.7410908611187152,2043.9422372436795,31.53193062936061,297558.7341573841,164.6950224863721,True,True,True,False,1071.1034898412404,0.822122164969691,0.3,constant_product
