day,timestamp,route_id,route_path,hops,chains,dex_path,is_crosschain,mev_type,input_amount,output_amount,gross_profit,trading_fees,gas_cost,slippage_cost,total_price_impact,net_profit,roi_percent,success,retry_attempted,execution_time_ms,liquidity_score,competition_level,amm_formula_used
1,2025-08-08 12:43:48,route_1_0,USDT → USDC → USDT,2,"polygon,polygon,polygon","1inch,1inch",False,none,98936.33739977764,98936.33739977764,0,2204.2830197016924,0.6399364649502466,513.4889200959967,29.779054882975974,-0.6399364649502466,0,False,True,2317.0329315493127,0.9897043264189905,0.3,constant_product
1,2025-08-08 12:43:48,route_1_1,AAVE → USDC → USDT → AAVE,3,"bsc,bsc,bsc,bsc","PancakeSwap,UniswapV3,1inch",False,none,193700.33307275374,193700.33307275374,0,531.005244148331,1.6704936715557133,-869.9506404945622,7.310933895599441,-1.6704936715557133,0,False,False,2861.401497279564,0.7939919758393706,0.3,constant_product
1,2025-08-08 12:43:48,route_1_2,WETH → WBTC → WMATIC → LINK → WETH,4,"ethereum,ethereum,ethereum,ethereum,ethereum","PancakeSwap,Curve,UniswapV3,Balancer",False,frontrun,112922.0897610066,200001.81891215272,87079.72915114612,1192.8242810049935,71.4908380749913,647.3330056356552,11.92806489399031,85168.08102643047,75.4219844909743,True,True,1161.0912469707462,0.756620327203745,0.3,constant_product
1,2025-08-08 12:43:48,route_1_3,USDT → LINK → USDT,2,"arbitrum,ethereum,arbitrum","AaveV3,Curve",True,backrun,57420.71707995468,453768.4371722788,396347.72009232413,268.57384639014685,7.255610182067297,2037.9163968198159,5.197165470178838,394033.97423893213,686.2226636603389,True,False,1786.6902001758035,0.9858261335917085,0.3,constant_product
1,2025-08-08 12:43:48,route_1_4,DAI → WMATIC → DAI,2,"arbitrum,arbitrum,arbitrum","PancakeSwap,1inch",False,none,146818.56425258773,179511.5413151605,32692.977062572754,114.05351882006772,1.7403299903702296,210.38072053183535,2.819941447563205,32366.80249323048,22.04544272585747,True,False,1521.5597870637584,0.8564956775604223,0.3,constant_product
1,2025-08-08 12:43:48,route_1_5,USDC → AAVE → USDC,2,"ethereum,ethereum,ethereum","SushiSwap,SushiSwap",False,frontrun,186744.2887138674,186744.2887138674,0,194.09618385814605,45.27593807138588,-646.4557222370236,3.3846549674617403,-45.27593807138588,0,False,False,1828.9054714249528,0.7996136350062485,0.3,constant_product
1,2025-08-08 12:43:48,route_1_6,WETH → DAI → WETH,2,"arbitrum,arbitrum,arbitrum","Curve,1inch",False,none,53450.740126158795,76893.93076985971,23443.190643700917,174.8171214342318,2.470383974123852,154.05621609934033,1.6529770456687667,23111.84692219322,43.23952646425991,True,False,817.3260517664178,0.8428530337838867,0.3,constant_product
1,2025-08-08 12:43:48,route_1_7,WBTC → LINK → USDC → WBTC,3,"arbitrum,optimism,ethereum,arbitrum","SushiSwap,AaveV3,TraderJoe",True,none,164412.02976513078,2266078.359624855,2101666.3298597243,1766.1370429649694,4.678088366264511,14790.546609033467,67.10487892986527,2085104.9681193596,1268.219224042192,True,False,2361.9587464758697,0.7962466782240993,0.3,constant_product
1,2025-08-08 12:43:48,route_1_8,USDT → USDC → WBTC → USDT,3,"polygon,bsc,ethereum,polygon","1inch,1inch,QuickSwap",True,none,195729.0939152999,517710.935685414,321981.84177011414,1662.5530025533394,1.5164894056474987,1629.5014837431543,14.10090441126309,318688.270794412,162.8211036077864,True,False,1450.1005940996697,0.9939150994401194,0.3,constant_product
1,2025-08-08 12:43:48,route_1_9,WMATIC → USDT → WMATIC,2,"polygon,polygon,polygon","TraderJoe,AaveV3",False,none,199414.05638510932,199414.05638510932,0,723.8796330545333,0.5224655115557494,-873.5282683530545,10.557801534814143,-0.5224655115557494,0,False,False,942.4707057556327,0.7143808926699319,0.3,constant_product
